name,slug,description,price,sale_price,category_id,material,origin,style,stock,image_url,filter_color,filter_material,filter_construction,filter_pattern,filter_weave,dim1_label,dim1_width,dim1_length,dim1_shape,dim1_price,dim1_sale_price,dim1_stock,dim1_default,dim2_label,dim2_width,dim2_length,dim2_shape,dim2_price,dim2_sale_price,dim2_stock,dim2_default,dim3_label,dim3_width,dim3_length,dim3_shape,dim3_price,dim3_sale_price,dim3_stock,dim3_default,colors
"Persian Tabriz Heritage","persian-tabriz-heritage","Hand-knotted Persian rug with intricate floral medallion design. Made from premium wool with silk highlights. Traditional craftsmanship from the historic city of Tabriz.","8500","7200",3,"Wool & Silk","Iran","Traditional",8,"https://example.com/rugs/tabriz-heritage.jpg","Navy Blue, Cream","Wool & Silk","Hand-Knotted","Medallion","Persian","6' x 9'",6,9,rectangular,5200,4800,3,yes,"8' x 10'",8,10,rectangular,8500,7200,5,no,"9' x 12'",9,12,rectangular,11200,9800,2,no,"Navy Blue: #1a2744, Cream: #f5f0e8, Gold: #c9a227"
"Modern Geometric Wool Rug","modern-geometric-wool","Contemporary hand-tufted wool rug featuring bold geometric patterns in muted earth tones. Perfect for modern living spaces.","3200","2800",4,"100% Wool","India","Contemporary",15,"https://example.com/rugs/modern-geometric.jpg","Charcoal, Beige","Wool","Hand-Tufted","Geometric","Modern","5' x 7'",5,7,rectangular,1800,1600,6,yes,"6' x 9'",6,9,rectangular,3200,2800,5,no,"8' Round",8,8,round,4500,3900,4,no,"Charcoal: #36454f, Beige: #d4c4b0, Rust: #b7410e"
"Oriental Silk Runner","oriental-silk-runner","Luxurious silk runner with elaborate botanical motifs. Hand-woven using traditional techniques passed down through generations.","5600","",3,"Pure Silk","China","Traditional",6,"https://example.com/rugs/oriental-silk-runner.jpg","Burgundy, Gold","Silk","Hand-Woven","Botanical","Traditional","2' x 8'",2,8,runner,2200,2000,3,yes,"2' x 10'",2,10,runner,2800,2600,2,no,"3' x 12'",3,12,runner,5600,,1,no,"Burgundy: #800020, Gold: #ffd700, Ivory: #fffff0"
"Moroccan Beni Ourain","moroccan-beni-ourain","Authentic Moroccan Beni Ourain rug with characteristic shaggy pile and simple geometric diamond patterns. Made from natural undyed wool.","4200","3800",4,"Natural Wool","Morocco","Bohemian",12,"https://example.com/rugs/moroccan-beni.jpg","Cream, Charcoal","Natural Wool","Hand-Knotted","Diamond","Moroccan","5' x 8'",5,8,rectangular,2400,2200,4,yes,"6' x 9'",6,9,rectangular,4200,3800,5,no,"8' x 10'",8,10,rectangular,5800,5200,3,no,"Cream: #fffdd0, Charcoal: #36454f"
"Kashan Floral Masterpiece","kashan-floral-masterpiece","Exquisite Kashan rug featuring dense floral garden design with central medallion. Hand-knotted with over 400 knots per square inch.","12500","11000",3,"Wool & Silk","Iran","Traditional",4,"https://example.com/rugs/kashan-floral.jpg","Deep Red, Navy, Ivory","Wool & Silk","Hand-Knotted","Floral Garden","Persian","8' x 10'",8,10,rectangular,8200,7500,2,yes,"9' x 12'",9,12,rectangular,12500,11000,2,no,"10' x 14'",10,14,rectangular,15800,14200,1,no,"Deep Red: #8b0000, Navy: #000080, Ivory: #fffff0, Sage: #9dc183"
"Overdyed Vintage Turkish","overdyed-vintage-turkish","Beautifully overdyed vintage Turkish rug with rich emerald tones. Each piece is unique with worn patterns peeking through.","2900","",4,"Wool","Turkey","Vintage",9,"https://example.com/rugs/overdyed-turkish.jpg","Emerald, Teal","Wool","Hand-Knotted","Distressed","Turkish","4' x 6'",4,6,rectangular,1200,1000,3,yes,"5' x 7'",5,7,rectangular,1800,1600,4,no,"8' x 10'",8,10,rectangular,2900,,2,no,"Emerald: #50c878, Teal: #008080, Brown: #8b4513"
"Braided Jute Area Rug","braided-jute-area","Eco-friendly braided jute rug with natural texture. Perfect for high-traffic areas and coastal-inspired interiors.","950","850",5,"Jute","India","Coastal",20,"https://example.com/rugs/braided-jute.jpg","Natural, Beige","Jute","Braided","Solid","Casual","3' Round",3,3,round,450,400,8,yes,"5' Round",5,5,round,950,850,6,no,"6' Round",6,6,round,1200,1100,4,no,"Natural: #d2b48c, Beige: #f5f5dc"
"Dhurrie Flatweave Cotton","dhurrie-flatweave-cotton","Lightweight reversible cotton dhurrie with colorful striped pattern. Easy to clean and perfect for summer homes.","750","",6,"Cotton","India","Casual",25,"https://example.com/rugs/dhurrie-cotton.jpg","Multi-color","Cotton","Flatweave","Striped","Indian","4' x 6'",4,6,rectangular,350,300,10,yes,"6' x 9'",6,9,rectangular,750,,8,no,"8' x 10'",8,10,rectangular,950,850,5,no,"Red: #ff0000, Yellow: #ffff00, Blue: #0000ff, Green: #008000"
"Tribal Kilim Wool","tribal-kilim-wool","Hand-woven tribal kilim with bold geometric patterns and warm earth tones. Double-sided and durable.","1800","1600",4,"Wool","Afghanistan","Tribal",10,"https://example.com/rugs/tribal-kilim.jpg","Rust, Brown, Cream","Wool","Hand-Woven","Geometric Tribal","Kilim","5' x 7'",5,7,rectangular,1000,900,5,yes,"6' x 9'",6,9,rectangular,1800,1600,3,no,"8' x 10'",8,10,rectangular,2400,2200,2,no,"Rust: #b7410e, Brown: #8b4513, Cream: #fffdd0, Black: #000000"
"Shaggy Faux Fur White","shaggy-faux-fur-white","Ultra-plush faux fur shag rug in pure white. Creates a luxurious cloud-like feel underfoot. Perfect for bedrooms.","650","550",5,"Faux Fur","China","Modern",18,"https://example.com/rugs/faux-fur-white.jpg","White, Ivory","Faux Fur","Machine-Made","Solid","Contemporary","3' x 5'",3,5,rectangular,250,220,8,yes,"5' x 7'",5,7,rectangular,450,400,6,no,"8' x 10'",8,10,rectangular,650,550,4,no,"White: #ffffff, Ivory: #fffff0"
