name,slug,description,price,sale_price,category_id,material,origin,style,stock,image_url,filter_color,filter_material,filter_construction,filter_pattern,filter_weave,dim1_label,dim1_width,dim1_length,dim1_shape,dim1_price,dim1_sale_price,dim1_stock,dim1_default,dim2_label,dim2_width,dim2_length,dim2_shape,dim2_price,dim2_sale_price,dim2_stock,dim2_default,dim3_label,dim3_width,dim3_length,dim3_shape,dim3_price,dim3_sale_price,dim3_stock,dim3_default,colors
Jewel,jewel,"This section comprises in-stock oversized rugs in sizes larger than 12 X 18.",105.6,,7.0,Wool,India,Traditional,1,https://www.dropbox.com/scl/fi/rnlm9lv70fo1iq9e8cm5y/91430-GOLDEN-AGE-COLLECTION-JEWEL-IVORY-GOLD-8.3-X-10.4.jpg?rlkey=h4c6t4j56p1x8wak3y2aowncy&st=7b2cjgne&dl=1,"Ivory - Gold",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,5702.4,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,8448.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,11404.8,,1.0,no,"Ivory - Gold:#F4F0E6"
Valloire,valloire,"Hand-knotted in India, the luxurious Savoy Rug Collection is crafted with hand-carded wool infused with metal threads. Each of these intricate designs offers an assortment of decorative motifs and multi-tonal color shades that bl",158.4,,7.0,Wool,India,Transitional,1,https://www.dropbox.com/scl/fi/ms8uoc8yc4pmeydqjkxxw/157723-SAVOY-COLLECTION-VALLOIRE-FAWN-MULTI-7.11-X-9.10.jpg?rlkey=y1xzoqv3sasrhoxxtdp6un0xg&st=73ymkj27&dl=1,"Fawn - Multi",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,8553.6,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,12672.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,17107.2,,1.0,no,"Fawn - Multi:#C9A87C"
Cane,cane,"Youthful and effortless, the Mystique Collection elevates traditional rug making. Each rug is meticulously hand-knotted with premium wool, offering both durability and a luxurious feel. Blending soft neutrals with bold shades, Mystique designs showcase a range of mood-evoking colors to add depth to any space.",35.2,,,Wool,India,Modern,1,https://www.dropbox.com/scl/fi/ka7uvtz6kgkuy6gpgcf4e/157733-MYSTIQUE-COLLECTION-CANE-CAFE-8.0-X-10.2.jpg?rlkey=wyxh8c8o30yzd1ura3ggcfk1h&st=k5nj8u0a&dl=1,Café,Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,1900.8,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,2816.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,3801.6,,1.0,no,Café:#6F4E37
Kuma,kuma,"In collaboration with industry renowned Teddy Sumner, the Caspian Rug Collection is hand-knotted in India using a Turkish weave and hand-spun Middle Eastern wool, which is colored with natural vegetable dyes. The resulting variation in texture and color gives these carpets a sense of personality similar to that of antique carpets. These exclusive designs are largely modern adaptations of timeless traditional patterns colored to suit today's interiors.",74.8,,7.0,Wool,India,Transitional,1,https://www.dropbox.com/scl/fi/iepfzxwinpy13afqfoy6r/159367-CASPIAN-COLLECTION-KUMA-OYSTER-7.11-X-10.2.jpg?rlkey=x8djd2x7waxd3ijaozipdvt3c&st=t4irpr3t&dl=1,"Oyster, Pewter",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,4039.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,5984.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,8078.4,,1.0,no,"Oyster:#DAD3C4, Pewter:#96989B"
Nur,nur,"In collaboration with industry renowned Teddy Sumner, the Caspian Rug Collection is hand-knotted in India using a Turkish weave and hand-spun Middle Eastern wool, which is colored with natural vegetable dyes. The resulting variation in texture and color gives these carpets a sense of personality similar to that of antique carpets. These exclusive designs are largely modern adaptations of timeless traditional patterns colored to suit today's interiors.",74.8,,7.0,Wool,India,Transitional,1,https://www.dropbox.com/scl/fi/bao327iybhr5aj8pr8yek/159368-CASPIAN-COLLECTION-NUR-TOFFEE-7.11-X-10.0.jpg?rlkey=7j470so03s6wndeeca2mlajj8&st=2to8io2v&dl=1,"Toffee, Royal Blue",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,4039.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,5984.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,8078.4,,1.0,no,"Toffee:#9C6B3F, Royal Blue:#27408B"
Astara,astara,"In collaboration with industry renowned Teddy Sumner, the Caspian Rug Collection is hand-knotted in India using a Turkish weave and hand-spun Middle Eastern wool, which is colored with natural vegetable dyes. The resulting variation in texture and color gives these carpets a sense of personality similar to that of antique carpets. These exclusive designs are largely modern adaptations of timeless traditional patterns colored to suit today's interiors.",74.8,,7.0,Wool,India,Transitional,1,https://www.dropbox.com/scl/fi/goa4zjwwc3ww1268z4c3a/159407-CASPIAN-COLLECTION-ASTARA-LAGOON-BLUE-8.2-X-9.9.jpg?rlkey=1mp3njjolj7lrzj1x2z37ermm&st=ryzsm58n&dl=1,"Lagoon Blue, Cream, Apple",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,4039.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,5984.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,8078.4,,1.0,no,"Lagoon Blue:#3C8C8C, Cream:#F5F0E1, Apple:#7CB342"
Arlo,arlo,"In collaboration with industry renowned Teddy Sumner, the Caspian Rug Collection is hand-knotted in India using a Turkish weave and hand-spun Middle Eastern wool, which is colored with natural vegetable dyes. The resulting variation in texture and color gives these carpets a sense of personality similar to that of antique carpets. These exclusive designs are largely modern adaptations of timeless traditional patterns colored to suit today's interiors.",74.8,,7.0,Wool,India,Transitional,1,https://www.dropbox.com/scl/fi/m9850tk9b56yu5o3m87dx/161066-CASPIAN-COLLECTION-ARLO-HENNA-8.2-X-9.10.jpg?rlkey=cg5wp13mw761q6e0oksedsxcy&st=siblro23&dl=1,Henna,Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,4039.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,5984.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,8078.4,,1.0,no,Henna:#9C4722
Jubilation,jubilation,"The Triumph Rug Collection consists of classic hand-knotted designs made in India by master weavers using lustrous hand spun New Zealand Wool. WIth contemporary colors and a low-sheared antique aesthetic, these rugs work in both traditional and modern room-settings. Triumph is a celebration of sophistication and elegance derived from centuries of culture that has been made affordable using the generations of experience that Samad has to offer.",41.8,,7.0,Wool,India,Traditional,1,https://www.dropbox.com/scl/fi/rrqpeiqmlnvuat4zu8xoi/162389-TRIUMPH-COLLECTION-JUBILATION-WHEAT-WHEAT-8.0-X-10.0.jpg?rlkey=f05k1hhn55t7pwkh4l2g5q7z0&st=afne19yd&dl=1,"Wheat Wheat",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,2257.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,3344.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,4514.4,,1.0,no,"Wheat Wheat:#E8D6A8"
Zuma,zuma,"Inspired by the landscapes of Malibu, California, the Malibu Rug Reserve Collection is hand-knotted in a finer weave than our Malibu Collection with wool and hand-spun silk, which give these rugs a stunning shimmering effect. The Zuma design offers an artful mix of vibrant colors, ranging from iris blues to mandarin oranges and rosy mauves.",79.2,,7.0,"Silk and Wool",India,Modern,1,https://www.dropbox.com/scl/fi/7ogldtaz4cictnlshq5nw/162581-MALIBU-COLLECTION-ZUMA-TEAL-8.0-X-10.1.jpg?rlkey=0sdg0qlzaryc7aene6jwe676b&st=vpbzyaqo&dl=1,"Teal, Sand","Silk and Wool","Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,4276.8,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,6336.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,8553.6,,1.0,no,"Teal:#2A6E6E, Sand:#D9C7A3"
Yamchi,yamchi,"In collaboration with industry renowned Teddy Sumner, the Caspian Rug Collection is hand-knotted in India using a Turkish weave and hand-spun Middle Eastern wool, which is colored with natural vegetable dyes. The resulting variation in texture and color gives these carpets a sense of personality similar to that of antique carpets. These exclusive designs are largely modern adaptations of timeless traditional patterns colored to suit today's interiors.",74.8,,7.0,Wool,India,Transitional,1,https://www.dropbox.com/scl/fi/4dhgbrs3d8c7itv0rzq7t/163409-CASPIAN-COLLECTION-YAMCHI-MERLOT-8.2-X-10.2.jpg?rlkey=5pi8ve0j515f8ekfs9ysxyfgy&st=xhklloij&dl=1,Merlot,Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,4039.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,5984.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,8078.4,,1.0,no,Merlot:#5E1A2B
Era,era,"Youthful and effortless, the Mystique Collection elevates traditional rug making. Each rug is meticulously hand-knotted with premium wool, offering both durability and a luxurious feel. Blending soft neutrals with bold shades, Mystique designs showcase a range of mood-evoking colors to add depth to any space.",35.2,,7.0,Wool,India,Modern,1,https://www.dropbox.com/scl/fi/v9lv6a8jno5phri0sss2o/168118-MYSTIQUE-COLLECTION-ERA-BLUE-GREEN-8.0-X-9.11.jpg?rlkey=rapsxv6o776omi2xv1p42av44&st=gluwa5ch&dl=1,"Blue - Green",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,1900.8,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,2816.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,3801.6,,1.0,no,"Blue - Green:#3A6EA8"
Wonder,wonder,"The Triumph Rug Collection consists of classic hand-knotted designs made in India by master weavers using lustrous hand spun New Zealand Wool. WIth contemporary colors and a low-sheared antique aesthetic, these rugs work in both traditional and modern room-settings. Triumph is a celebration of sophistication and elegance derived from centuries of culture that has been made affordable using the generations of experience that Samad has to offer.",41.8,,7.0,Wool,India,Traditional,1,https://www.dropbox.com/scl/fi/mj1wpuq7hoigj7w2vf254/170956-TRIUMPH-COLLECTION-WONDER-STEEL-CELERY-8.1-X-10.0.jpg?rlkey=93eoqlismkhcdagtv1pc75mt0&st=xd4m7h86&dl=1,"Steel - Celery",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,2257.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,3344.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,4514.4,,1.0,no,"Steel - Celery:#7C8B96"
Garth,garth,"The Nordic Rug Collection embodies the age-old concept of sophistication through simplicity. Hand-knotted with New Zealand wool, these versatile Nordic Rugs have an innately organic quality. The high-low effect of their pile offers texture and visual appeal. Further, the Natural Ivory and Natural Black color-ways use 100% natural un-dyed yarn, offering a modern spin on traditional rug-making.",52.8,,7.0,Wool,India,Modern,1,https://www.dropbox.com/scl/fi/klgph8dxg8xhpxldflpeu/171145-NORDIC-COLLECTION-GARTH-MULTI-8.3-X-10.3.jpg?rlkey=x9a9oe50lj8gmjgurazud0v5s&st=jzd98a27&dl=1,Multi,Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,2851.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,4224.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,5702.4,,1.0,no,Multi:#B0ABA0
Merriment,merriment,"The Triumph Rug Collection consists of classic hand-knotted designs made in India by master weavers using lustrous hand spun New Zealand Wool. WIth contemporary colors and a low-sheared antique aesthetic, these rugs work in both traditional and modern room-settings. Triumph is a celebration of sophistication and elegance derived from centuries of culture that has been made affordable using the generations of experience that Samad has to offer.",41.8,,7.0,Wool,India,Traditional,1,https://www.dropbox.com/scl/fi/qnadbqh47iqdwan0o28a0/172159-TRIUMPH-COLLECTION-MERRIMENT-SILVER-CREAM-8.1-X-10.0.jpg?rlkey=82iwiduf7b8xu3unm90p9kki8&st=ugo56tsp&dl=1,"Silver - Cream",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,2257.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,3344.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,4514.4,,1.0,no,"Silver - Cream:#C0C0C0"
Hermes,hermes,"The Olympic Rug Collection is crafted to look and feel like an antique Persian rug that’s been handed down for generations. From the texture of the wool to the colors chosen, much attention to detail has been put into this line to bring these decorative designs to life.",74.8,,7.0,Wool,India,Transitional,1,https://www.dropbox.com/scl/fi/2j7c61u6ib9nyccd63bga/172347-OLYMPIC-COLLECTION-HERMES-BLUE-CAMEL-8.9-X-11.10.jpg?rlkey=r2qrjbrw2o006jxnzqvfyfpvx&st=d1sj3yur&dl=1,"Blue - Camel",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,4039.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,5984.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,8078.4,,1.0,no,"Blue - Camel:#3A6EA8"
Athena,athena,"The Olympic Rug Collection is crafted to look and feel like an antique Persian rug that’s been handed down for generations. From the texture of the wool to the colors chosen, much attention to detail has been put into this line to bring these decorative designs to life.",74.8,,7.0,Wool,India,Transitional,1,https://www.dropbox.com/scl/fi/edsnq5lgobd1rzezesm6j/172349-OLYMPIC-COLLECTION-ATHENA-SAND-SAND-7.10-X-9.9.jpg?rlkey=7ogt1a2e74nd8m3o2b4rzuhfg&st=decvb5q6&dl=1,"Sand, Lt Blue, Dunes, Harbor, Indigo, Sapphire",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,4039.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,5984.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,8078.4,,1.0,no,"Sand:#D9C7A3, Lt Blue:#3A6EA8"
Genesis,genesis,"The thick-pile rugs in the Boho Plus Rug Collection are the epitome of cozy-comfort. Available in natural earth-tones, these rugs are hand-knotted with lustrous New Zealand wool. The high-low effect in the wool creates a dynamic feel while bringing these modern patterns to life.",44.0,,7.0,Wool,India,Modern,1,https://www.dropbox.com/scl/fi/mxmr4km9qi5p9ael6bpm9/172505-BOHO-PLUS-GENESIS-NATURAL-IVORY-GREY-8.0-X-10.0.jpg?rlkey=cxlidw6pr5r4vinsxg4tkc1yv&st=tvrgzqkh&dl=1,"Natural Ivory Grey, Tribal Tan Tones",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,2376.0,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,3520.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,4752.0,,1.0,no,"Natural Ivory Grey:#F4F0E6, Tribal Tan Tones:#D2B48C"
Charisma,charisma,"Youthful and effortless, the Mystique Collection elevates traditional rug making. Each rug is meticulously hand-knotted with premium wool, offering both durability and a luxurious feel. Blending soft neutrals with bold shades, Mystique designs showcase a range of mood-evoking colors to add depth to any space.",35.2,,7.0,Wool,India,Modern,1,https://www.dropbox.com/scl/fi/9umqlt1u76st0zx6sn8ih/172555-MYSTIQUE-COLLECTION-CHARISMA-MERLOT-8.1-X-10.2.jpg?rlkey=e8e31nufl19iahurimyvb9siz&st=fd1k2kua&dl=1,Merlot,Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,1900.8,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,2816.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,3801.6,,1.0,no,Merlot:#5E1A2B
"Mama Mia",mama,"The thick-pile rugs in the Boho Plus Rug Collection are the epitome of cozy-comfort. Available in natural earth-tones, these rugs are hand-knotted with lustrous New Zealand wool. The high-low effect in the wool creates a dynamic feel while bringing these modern patterns to life.",44.0,,7.0,Wool,India,Modern,1,https://www.dropbox.com/scl/fi/9s4zme6pszpwhtotjlxg1/173792-BOHO-PLUS-MAMA-MIA-NATURAL-IVORY-GREY-8.1-X-9.11.jpg?rlkey=q7w97rwzke2qsltstn63hc07g&st=64fqd2ok&dl=1,"Natural Ivory Grey",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,2376.0,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,3520.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,4752.0,,1.0,no,"Natural Ivory Grey:#F4F0E6"
Rhapsody,rhapsody,"The thick-pile rugs in the Boho Plus Rug Collection are the epitome of cozy-comfort. Available in natural earth-tones, these rugs are hand-knotted with lustrous New Zealand wool. The high-low effect in the wool creates a dynamic feel while bringing these modern patterns to life.",44.0,,7.0,Wool,India,Modern,1,https://www.dropbox.com/scl/fi/7o8z4eipe7ckb5ze2oxqb/173793-BOHO-PLUS-RHAPSODY-NATURAL-IVORY-GREY-8.0-X-10.1.jpg?rlkey=imky2336zhdkqwtabh3qtbhfx&st=pie15dx7&dl=1,"Natural Ivory Grey",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,2376.0,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,3520.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,4752.0,,1.0,no,"Natural Ivory Grey:#F4F0E6"
Revelation,revelation,"Handcrafted from the finest natural fibers, the Capri Collection offer versatile, lightweight rugs in earthy tones of brown, camel, and cream. These flatweaves combine an understated look with a rustic texture, perfect for adding warmth to any space.",24.2,,7.0,Wool,India,Modern,1,https://www.dropbox.com/scl/fi/tuc3hpzqakyw5tvr3em8y/174001-CAPRI-COLLECTION-REVELATION-BROWN-BLUE-8.2-X-10.10.jpg?rlkey=iffnx1x9zx7cfpb958p9nhquc&st=gmtc3y1w&dl=1,"Brown - Blue, Camel - Blue, Ivory - Rosy, Ivory - Lilac",Wool,"Reversible Flatweave",,,"6' x 9'",6.0,9.0,rectangular,1306.8,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,1936.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,2613.6,,1.0,no,"Brown - Blue:#7B5B3F, Camel - Blue:#3A6EA8, Ivory - Rosy:#F4F0E6, Ivory - Lilac:#F4F0E6"
Apollo,apollo,"The Olympic Rug Collection is crafted to look and feel like an antique Persian rug that’s been handed down for generations. From the texture of the wool to the colors chosen, much attention to detail has been put into this line to bring these decorative designs to life.",74.8,,,Wool,India,Transitional,1,https://www.dropbox.com/scl/fi/dlgorjpgnnjpuyf3xazkr/176268-OLYMPIC-COLLECTION-APOLLO-BLUES-8.0-X-10.0.jpg?rlkey=97g2926knu0d0muxsn8gn5gd8&st=ko9g3606&dl=1,Blue,Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,4039.2,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,5984.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,8078.4,,1.0,no,Blue:#3A6EA8
Rhythm,rhythm,"Handcrafted from the finest natural fibers, the Capri Collection offer versatile, lightweight rugs in earthy tones of brown, camel, and cream. These flatweaves combine an understated look with a rustic texture, perfect for adding warmth to any space.",28.6,,7.0,Wool,India,Modern,1,https://www.dropbox.com/scl/fi/fqbbzfz2n9jnwhgxi3hai/181425-CAPRI-PLUS-COLLECTION-RHYTHM-IVORY-TOFFEE-8.3-X-10.3.jpg?rlkey=6jwj2hj0puixd3syrcsz7u075&st=czsvzmxl&dl=1,"Ivory - Toffee",Wool,"Hand Knotted",,,"6' x 9'",6.0,9.0,rectangular,1544.4,,1.0,yes,"8' x 10'",8.0,10.0,rectangular,2288.0,,1.0,no,"9' x 12'",9.0,12.0,rectangular,3088.8,,1.0,no,"Ivory - Toffee:#F4F0E6"
