name,slug,description,price,sale_price,category_id,material,origin,style,stock,image_url,filter_color,filter_material,filter_construction,filter_pattern,filter_weave,dim1_label,dim1_width,dim1_length,dim1_shape,dim1_price,dim1_sale_price,dim1_stock,dim1_default,dim2_label,dim2_width,dim2_length,dim2_shape,dim2_price,dim2_sale_price,dim2_stock,dim2_default,dim3_label,dim3_width,dim3_length,dim3_shape,dim3_price,dim3_sale_price,dim3_stock,dim3_default,colors
"Overdyed Vintage Overdyed-vintage-1",overdyed-vintage-1,"Exquisite Overdyed Vintage featuring intricate patterns woven by skilled artisans in Tibet. Premium Microfiber construction ensures lasting beauty.",9359,7955,7,Microfiber,Tibet,Industrial,21,,Mustard,Microfiber,Hand-Knotted,Botanical,Tibetan,"7' Round",7,7,round,9359,7955,18,yes,,,,,,,,,,,,,,,,,"Black: #000000, Sage: #9dc183, Charcoal: #36454f, Red: #ff0000"
"Southwestern Navajo Southwestern-navajo-2",southwestern-navajo-2,"Authentic Southwestern Navajo rug made in USA from high-quality Bamboo Silk. Timeless design for Vintage homes.",3984,,8,"Bamboo Silk",USA,Vintage,13,,Brown,"Bamboo Silk",Braided,Striped,Traditional,"4' x 6'",4,6,rectangular,3984,,2,yes,,,,,,,,,,,,,,,,,"Beige: #d4c4b0, Tan: #d2b48c, Gray: #808080, Cream: #f5f0e8"
"Persian Nain Persian-nain-3",persian-nain-3,"Exquisite Persian Nain featuring intricate patterns woven by skilled artisans in Iran. Premium 100% Wool construction ensures lasting beauty.",4802,,7,"100% Wool",Iran,Rustic,15,,Brown,"100% Wool",Hooked,Medallion,Turkish,"7' Round",7,7,round,4802,4082,8,yes,,,,,,,,,,,,,,,,,"Teal: #008080, Black: #000000, Gray: #808080, Mustard: #ffdb58"
"Overdyed Patchwork Overdyed-patchwork-4",overdyed-patchwork-4,"Stunning Overdyed Patchwork from Afghanistan, crafted using traditional techniques with Faux Fur. Adds elegance to any Contemporary space.",2760,,3,"Faux Fur",Afghanistan,Contemporary,12,,Gold,"Faux Fur",Braided,Solid,Moroccan,"2' x 10'",2,10,runner,2760,,13,yes,,,,,,,,,,,,,,,,,"Red: #ff0000, Rust: #b7410e"
"Silk Hereke Silk-hereke-5",silk-hereke-5,"Authentic Silk Hereke rug made in Morocco from high-quality Chenille. Timeless design for Modern homes.",9024,,6,Chenille,Morocco,Modern,5,,"Gold, Green, White",Chenille,Machine-Made,Border,Moroccan,"8' Round",8,8,round,9024,,2,yes,"3' x 5'",3,5,rectangular,2685,,4,no,"4' x 6'",4,6,rectangular,3144,,9,no,"Navy Blue: #1a2744, Cream: #f5f0e8"
"Pakistani Jaldar Pakistani-jaldar-6",pakistani-jaldar-6,"Authentic Pakistani Jaldar rug made in Iran from high-quality Natural Wool. Timeless design for Contemporary homes.",23800,20230,4,"Natural Wool",Iran,Contemporary,25,,"Charcoal, Purple","Natural Wool",Hand-Woven,Striped,Tibetan,"10' x 14'",10,14,rectangular,23800,,8,yes,"8' x 10'",8,10,rectangular,9840,,15,no,"3' x 12'",3,12,runner,8712,,20,no,"Blue: #0000ff, Charcoal: #36454f, Black: #000000, Tan: #d2b48c"
"Pakistani Bokhara Pakistani-bokhara-7",pakistani-bokhara-7,"Beautiful Pakistani Bokhara rug hand-crafted in India. Made from premium Faux Fur with exceptional detail and durability. Perfect for Minimalist interiors.",7910,,8,"Faux Fur",India,Minimalist,26,,"Brown, Gray, Red","Faux Fur",Knotted,Solid,Tibetan,"5' x 7'",5,7,rectangular,7910,,16,yes,,,,,,,,,,,,,,,,,"Orange: #ffa500"
"Vintage Tabriz Vintage-tabriz-8",vintage-tabriz-8,"Exquisite Vintage Tabriz featuring intricate patterns woven by skilled artisans in China. Premium Chenille construction ensures lasting beauty.",11456,,7,Chenille,China,Transitional,11,,Emerald,Chenille,Flatweave,Botanical,Turkish,"8' Round",8,8,round,11456,9738,2,yes,"10' x 14'",10,14,rectangular,26740,22729,8,no,"2' x 8'",2,8,runner,1776,,7,no,"Terracotta: #e2725b, Ivory: #fffff0, Blush: #de5d83"
"Egyptian Mamluk Egyptian-mamluk-9",egyptian-mamluk-9,"Beautiful Egyptian Mamluk rug hand-crafted in Turkey. Made from premium 100% Wool with exceptional detail and durability. Perfect for Minimalist interiors.",4896,,7,"100% Wool",Turkey,Minimalist,28,,"Burgundy, Black","100% Wool",Hooked,Solid,Tibetan,"3' x 12'",3,12,runner,4896,,7,yes,,,,,,,,,,,,,,,,,"Blush: #de5d83, Mustard: #ffdb58, Charcoal: #36454f"
"Silk Kashan Silk-kashan-10",silk-kashan-10,"Authentic Silk Kashan rug made in Nepal from high-quality Microfiber. Timeless design for Transitional homes.",5684,,4,Microfiber,Nepal,Transitional,28,,"Gray, Red",Microfiber,Hand-Woven,Border,Modern,"7' Round",7,7,round,5684,,10,yes,,,,,,,,,,,,,,,,,"Rust: #b7410e"
"Solid Shag Solid-shag-11",solid-shag-11,"Luxurious Solid Shag handcrafted in Tibet. Rich textures and patterns in 100% Wool make this a statement piece for Bohemian decor.",2385,,6,"100% Wool",Tibet,Bohemian,12,,"Gold, Emerald, Black","100% Wool",Braided,Botanical,Moroccan,"3' x 5'",3,5,rectangular,2385,,9,yes,"5' x 7'",5,7,rectangular,3535,,18,no,"7' Round",7,7,round,11956,10163,7,no,"Mustard: #ffdb58, Burgundy: #800020"
"Coastal Solid Coastal-solid-12",coastal-solid-12,"Luxurious Coastal Solid handcrafted in China. Rich textures and patterns in Seagrass make this a statement piece for Minimalist decor.",10290,,4,Seagrass,China,Minimalist,9,,"Navy Blue, Charcoal, Tan",Seagrass,Knotted,Distressed,Persian,"7' Round",7,7,round,10290,,17,yes,"4' x 6'",4,6,rectangular,3600,,10,no,"2' x 10'",2,10,runner,3560,3026,2,no,"Beige: #d4c4b0, Rust: #b7410e, Mustard: #ffdb58"
"Distressed Oushak Distressed-oushak-13",distressed-oushak-13,"Luxurious Distressed Oushak handcrafted in Nepal. Rich textures and patterns in Natural Wool make this a statement piece for Bohemian decor.",2736,,5,"Natural Wool",Nepal,Bohemian,6,,Orange,"Natural Wool",Hand-Tufted,Distressed,Persian,"2' x 8'",2,8,runner,2736,2326,17,yes,,,,,,,,,,,,,,,,,"Charcoal: #36454f, Mustard: #ffdb58"
"Silk Kashan Silk-kashan-14",silk-kashan-14,"Exquisite Silk Kashan featuring intricate patterns woven by skilled artisans in Bangladesh. Premium Wool construction ensures lasting beauty.",14272,,6,Wool,Bangladesh,Industrial,10,,Charcoal,Wool,Flatweave,Geometric,Modern,"8' Round",8,8,round,14272,,3,yes,,,,,,,,,,,,,,,,,"Terracotta: #e2725b, Mustard: #ffdb58, Burgundy: #800020, Tan: #d2b48c"
"Indian Dhurrie Indian-dhurrie-15",indian-dhurrie-15,"Luxurious Indian Dhurrie handcrafted in Bangladesh. Rich textures and patterns in Faux Fur make this a statement piece for Glam decor.",14848,,8,"Faux Fur",Bangladesh,Glam,30,,"Navy Blue, Brown, Gray","Faux Fur",Flatweave,Medallion,Moroccan,"8' Round",8,8,round,14848,,19,yes,"7' Round",7,7,round,10878,,3,no,"2' x 8'",2,8,runner,1440,1224,17,no,"Green: #008000, Navy Blue: #1a2744, Teal: #008080, Cream: #f5f0e8"
"Vintage Kerman Vintage-kerman-16",vintage-kerman-16,"Exquisite Vintage Kerman featuring intricate patterns woven by skilled artisans in Turkey. Premium Faux Fur construction ensures lasting beauty.",14904,,3,"Faux Fur",Turkey,Rustic,13,,"Beige, Burgundy","Faux Fur",Flatweave,Geometric,Tibetan,"9' x 12'",9,12,rectangular,14904,,7,yes,"5' x 7'",5,7,rectangular,6265,,2,no,"5' Round",5,5,round,5475,,9,no,"Orange: #ffa500, Brown: #8b4513, Navy Blue: #1a2744, Beige: #d4c4b0"
"Modern Trellis Modern-trellis-17",modern-trellis-17,"Stunning Modern Trellis from Morocco, crafted using traditional techniques with Cotton. Adds elegance to any Rustic space.",3900,,5,Cotton,Morocco,Rustic,9,,Gray,Cotton,Knotted,Abstract,Traditional,"5' Round",5,5,round,3900,,3,yes,"7' Round",7,7,round,7889,,19,no,"3' x 12'",3,12,runner,6300,,15,no,"Brown: #8b4513, Red: #ff0000"
"Scandinavian Minimal Scandinavian-minimal-18",scandinavian-minimal-18,"Beautiful Scandinavian Minimal rug hand-crafted in Nepal. Made from premium Natural Wool with exceptional detail and durability. Perfect for Transitional interiors.",3660,,4,"Natural Wool",Nepal,Transitional,12,,"Blue, Green","Natural Wool",Knotted,Solid,Moroccan,"2' x 10'",2,10,runner,3660,3111,13,yes,"3' x 12'",3,12,runner,4032,,6,no,"7' Round",7,7,round,5684,,15,no,"Ivory: #fffff0, Beige: #d4c4b0"
"Coastal Solid Coastal-solid-19",coastal-solid-19,"Luxurious Coastal Solid handcrafted in Turkey. Rich textures and patterns in Bamboo Silk make this a statement piece for Minimalist decor.",2550,2168,5,"Bamboo Silk",Turkey,Minimalist,19,,Rust,"Bamboo Silk",Hand-Tufted,Geometric,Modern,"3' x 5'",3,5,rectangular,2550,,6,yes,,,,,,,,,,,,,,,,,"Orange: #ffa500, Rust: #b7410e, Navy Blue: #1a2744"
"Chenille Striped Chenille-striped-20",chenille-striped-20,"Exquisite Chenille Striped featuring intricate patterns woven by skilled artisans in Afghanistan. Premium Sisal construction ensures lasting beauty.",6566,5581,6,Sisal,Afghanistan,Tribal,23,,Sage,Sisal,Braided,Border,Moroccan,"7' Round",7,7,round,6566,5581,14,yes,"6' x 9'",6,9,rectangular,10260,,7,no,"2' x 8'",2,8,runner,3696,3142,10,no,"Rust: #b7410e, Beige: #d4c4b0, Gray: #808080"
"Turkish Oushak Turkish-oushak-21",turkish-oushak-21,"Exquisite Turkish Oushak featuring intricate patterns woven by skilled artisans in Tibet. Premium Seagrass construction ensures lasting beauty.",6965,5920,4,Seagrass,Tibet,Contemporary,11,,Sage,Seagrass,Knotted,Paisley,Tibetan,"5' x 7'",5,7,rectangular,6965,,18,yes,"8' x 10'",8,10,rectangular,15200,,7,no,"5' Round",5,5,round,2325,,19,no,"White: #ffffff"
"Overdyed Vintage Overdyed-vintage-22",overdyed-vintage-22,"Stunning Overdyed Vintage from Egypt, crafted using traditional techniques with 100% Wool. Adds elegance to any Transitional space.",5635,4790,7,"100% Wool",Egypt,Transitional,8,,"Ivory, Brown","100% Wool",Flatweave,Solid,Turkish,"7' Round",7,7,round,5635,,13,yes,"3' x 12'",3,12,runner,5256,,14,no,,,,,,,,,"Rust: #b7410e"
"Distressed Heriz Distressed-heriz-23",distressed-heriz-23,"Luxurious Distressed Heriz handcrafted in Tibet. Rich textures and patterns in Polyester make this a statement piece for Coastal decor.",2256,1918,8,Polyester,Tibet,Coastal,8,,Orange,Polyester,Braided,Botanical,Modern,"2' x 8'",2,8,runner,2256,,16,yes,"3' x 12'",3,12,runner,3492,,2,no,"4' x 6'",4,6,rectangular,2616,,8,no,"Beige: #d4c4b0, Burgundy: #800020"
"Southwestern Navajo Southwestern-navajo-24",southwestern-navajo-24,"Stunning Southwestern Navajo from Nepal, crafted using traditional techniques with Wool & Silk. Adds elegance to any Rustic space.",9666,,3,"Wool & Silk",Nepal,Rustic,18,,"Cream, Emerald, Blue","Wool & Silk",Knotted,Distressed,Traditional,"6' x 9'",6,9,rectangular,9666,,11,yes,"2' x 10'",2,10,runner,4340,,15,no,,,,,,,,,"Gold: #c9a227, White: #ffffff, Teal: #008080"
"Industrial Pattern Industrial-pattern-25",industrial-pattern-25,"Luxurious Industrial Pattern handcrafted in Pakistan. Rich textures and patterns in Natural Wool make this a statement piece for Rustic decor.",14280,,3,"Natural Wool",Pakistan,Rustic,20,,"Gray, Purple","Natural Wool",Hooked,Abstract,Moroccan,"10' x 14'",10,14,rectangular,14280,12138,8,yes,"9' x 12'",9,12,rectangular,12744,10832,17,no,,,,,,,,,"Rust: #b7410e"
"Pakistani Jaldar Pakistani-jaldar-26",pakistani-jaldar-26,"Beautiful Pakistani Jaldar rug hand-crafted in USA. Made from premium Cotton with exceptional detail and durability. Perfect for Glam interiors.",4536,3856,4,Cotton,USA,Glam,15,,Purple,Cotton,Hand-Woven,Paisley,Moroccan,"3' x 12'",3,12,runner,4536,,19,yes,,,,,,,,,,,,,,,,,"Gray: #808080"
"Art Deco Abstract Art-deco-abstract-27",art-deco-abstract-27,"Beautiful Art Deco Abstract rug hand-crafted in Bangladesh. Made from premium Viscose with exceptional detail and durability. Perfect for Rustic interiors.",5800,4930,8,Viscose,Bangladesh,Rustic,28,,Charcoal,Viscose,Hand-Knotted,Paisley,Traditional,"5' Round",5,5,round,5800,4930,13,yes,"8' Round",8,8,round,8128,6909,12,no,,,,,,,,,"Rust: #b7410e, Teal: #008080, Black: #000000, Tan: #d2b48c"
"Turkish Yahyali Turkish-yahyali-28",turkish-yahyali-28,"Authentic Turkish Yahyali rug made in Turkey from high-quality Seagrass. Timeless design for Minimalist homes.",4270,3630,8,Seagrass,Turkey,Minimalist,29,,"Charcoal, Burgundy",Seagrass,Knotted,Solid,Modern,"5' x 7'",5,7,rectangular,4270,,11,yes,"2' x 10'",2,10,runner,4140,,15,no,"10' x 14'",10,14,rectangular,28560,,10,no,"Burgundy: #800020"
"Scandinavian Striped Scandinavian-striped-29",scandinavian-striped-29,"Luxurious Scandinavian Striped handcrafted in Pakistan. Rich textures and patterns in Microfiber make this a statement piece for Bohemian decor.",2720,,8,Microfiber,Pakistan,Bohemian,28,,Tan,Microfiber,Hand-Tufted,Distressed,Casual,"2' x 8'",2,8,runner,2720,,6,yes,"3' x 5'",3,5,rectangular,1740,1479,3,no,,,,,,,,,"Terracotta: #e2725b"
"Turkish Yahyali Turkish-yahyali-30",turkish-yahyali-30,"Authentic Turkish Yahyali rug made in USA from high-quality Chenille. Timeless design for Coastal homes.",34720,,4,Chenille,USA,Coastal,19,,White,Chenille,Flatweave,Distressed,Moroccan,"10' x 14'",10,14,rectangular,34720,,18,yes,,,,,,,,,,,,,,,,,"Rust: #b7410e, Emerald: #50c878"
