name,slug,description,price,sale_price,category_id,material,origin,style,stock,image_url,filter_color,filter_material,filter_construction,filter_pattern,filter_weave,dim1_label,dim1_width,dim1_length,dim1_shape,dim1_price,dim1_sale_price,dim1_stock,dim1_default,dim2_label,dim2_width,dim2_length,dim2_shape,dim2_price,dim2_sale_price,dim2_stock,dim2_default,dim3_label,dim3_width,dim3_length,dim3_shape,dim3_price,dim3_sale_price,dim3_stock,dim3_default,colors
aaa,aaa-z6NY,aaa,10.00,,,,,,0,http://localhost:8000/storage/products/UhTCt7HTYd6I1u8niIBQEhGYkF2UUaWskiGZw8GV.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Persian Tabriz Heritage",persian-tabriz-heritage,"Hand-knotted Persian rug with intricate floral medallion design. Made from premium wool with silk highlights. Traditional craftsmanship from the historic city of Tabriz.",8500.00,7200.00,3,"Wool & Silk",Iran,Traditional,8,,,,,,,"6' x 9'",6.00,9.00,rectangular,5200.00,4800.00,3,yes,"8' x 10'",8.00,10.00,rectangular,8500.00,7200.00,5,no,"9' x 12'",9.00,12.00,rectangular,11200.00,9800.00,2,no,"Navy Blue: #1a2744, Cream: #f5f0e8, Gold: #c9a227"
"Modern Geometric Wool Rug",modern-geometric-wool,"Contemporary hand-tufted wool rug featuring bold geometric patterns in muted earth tones. Perfect for modern living spaces.",3200.00,2800.00,4,"100% Wool",India,Contemporary,15,,,,,,,"5' x 7'",5.00,7.00,rectangular,1800.00,1600.00,6,yes,"6' x 9'",6.00,9.00,rectangular,3200.00,2800.00,5,no,"8' Round",8.00,8.00,round,4500.00,3900.00,4,no,"Charcoal: #36454f, Beige: #d4c4b0, Rust: #b7410e"
"Oriental Silk Runner",oriental-silk-runner,"Luxurious silk runner with elaborate botanical motifs. Hand-woven using traditional techniques passed down through generations.",5600.00,,3,"Pure Silk",China,Traditional,6,,,,,,,"2' x 8'",2.00,8.00,runner,2200.00,2000.00,3,yes,"2' x 10'",2.00,10.00,runner,2800.00,2600.00,2,no,"3' x 12'",3.00,12.00,runner,5600.00,,1,no,"Burgundy: #800020, Gold: #ffd700, Ivory: #fffff0"
"Moroccan Beni Ourain",moroccan-beni-ourain,"Authentic Moroccan Beni Ourain rug with characteristic shaggy pile and simple geometric diamond patterns. Made from natural undyed wool.",4200.00,3800.00,4,"Natural Wool",Morocco,Bohemian,12,,,,,,,"5' x 8'",5.00,8.00,rectangular,2400.00,2200.00,4,yes,"6' x 9'",6.00,9.00,rectangular,4200.00,3800.00,5,no,"8' x 10'",8.00,10.00,rectangular,5800.00,5200.00,3,no,"Cream: #fffdd0, Charcoal: #36454f"
"Kashan Floral Masterpiece",kashan-floral-masterpiece,"Exquisite Kashan rug featuring dense floral garden design with central medallion. Hand-knotted with over 400 knots per square inch.",12500.00,11000.00,3,"Wool & Silk",Iran,Traditional,4,,,,,,,"8' x 10'",8.00,10.00,rectangular,8200.00,7500.00,2,yes,"9' x 12'",9.00,12.00,rectangular,12500.00,11000.00,2,no,"10' x 14'",10.00,14.00,rectangular,15800.00,14200.00,1,no,"Deep Red: #8b0000, Navy: #000080, Ivory: #fffff0, Sage: #9dc183"
"Overdyed Vintage Turkish",overdyed-vintage-turkish,"Beautifully overdyed vintage Turkish rug with rich emerald tones. Each piece is unique with worn patterns peeking through.",2900.00,,4,Wool,Turkey,Vintage,9,,,,,,,"4' x 6'",4.00,6.00,rectangular,1200.00,1000.00,3,yes,"5' x 7'",5.00,7.00,rectangular,1800.00,1600.00,4,no,"8' x 10'",8.00,10.00,rectangular,2900.00,,2,no,"Emerald: #50c878, Teal: #008080, Brown: #8b4513"
"Braided Jute Area Rug",braided-jute-area,"Eco-friendly braided jute rug with natural texture. Perfect for high-traffic areas and coastal-inspired interiors.",950.00,850.00,5,Jute,India,Coastal,20,,,,,,,"3' Round",3.00,3.00,round,450.00,400.00,8,yes,"5' Round",5.00,5.00,round,950.00,850.00,6,no,"6' Round",6.00,6.00,round,1200.00,1100.00,4,no,"Natural: #d2b48c, Beige: #f5f5dc"
"Dhurrie Flatweave Cotton",dhurrie-flatweave-cotton,"Lightweight reversible cotton dhurrie with colorful striped pattern. Easy to clean and perfect for summer homes.",750.00,,6,Cotton,India,Casual,25,,,,,,,"4' x 6'",4.00,6.00,rectangular,350.00,300.00,10,yes,"6' x 9'",6.00,9.00,rectangular,750.00,,8,no,"8' x 10'",8.00,10.00,rectangular,950.00,850.00,5,no,"Red: #ff0000, Yellow: #ffff00, Blue: #0000ff, Green: #008000"
"Tribal Kilim Wool",tribal-kilim-wool,"Hand-woven tribal kilim with bold geometric patterns and warm earth tones. Double-sided and durable.",1800.00,1600.00,4,Wool,Afghanistan,Tribal,10,,,,,,,"5' x 7'",5.00,7.00,rectangular,1000.00,900.00,5,yes,"6' x 9'",6.00,9.00,rectangular,1800.00,1600.00,3,no,"8' x 10'",8.00,10.00,rectangular,2400.00,2200.00,2,no,"Rust: #b7410e, Brown: #8b4513, Cream: #fffdd0, Black: #000000"
"Shaggy Faux Fur White",shaggy-faux-fur-white,"Ultra-plush faux fur shag rug in pure white. Creates a luxurious cloud-like feel underfoot. Perfect for bedrooms.",650.00,550.00,5,"Faux Fur",China,Modern,18,,,,,,,"3' x 5'",3.00,5.00,rectangular,250.00,220.00,8,yes,"5' x 7'",5.00,7.00,rectangular,450.00,400.00,6,no,"8' x 10'",8.00,10.00,rectangular,650.00,550.00,4,no,"White: #ffffff, Ivory: #fffff0"
"Heriz Serapi Antique Style",heriz-serapi-antique,"Stunning Heriz Serapi style rug with bold geometric medallion and corner spandrels. Dense weave with exceptional durability.",7800.00,,3,Wool,Iran,Traditional,5,,,,,,,"8' x 10'",8.00,10.00,rectangular,5200.00,,2,yes,"9' x 12'",9.00,12.00,rectangular,7800.00,,2,no,"10' x 14'",10.00,14.00,rectangular,9800.00,,1,no,"Rust: #b7410e, Navy: #000080, Camel: #c19a6b, Ivory: #fffff0"
"Outdoor Sisal Border",outdoor-sisal-border,"Weather-resistant sisal rug with subtle border design. Perfect for patios, decks, and sunrooms.",1200.00,,5,Sisal,Bangladesh,Coastal,30,,,,,,,"5' x 8'",5.00,8.00,rectangular,700.00,650.00,12,yes,"6' x 9'",6.00,9.00,rectangular,1000.00,950.00,10,no,"8' x 10'",8.00,10.00,rectangular,1200.00,,5,no,"Beige: #f5f5dc, Brown: #8b4513"
